bill_aed,tariff,home_type,size,occupants,setpoint,led_pct,ac_share,lighting_share,appliances_share,other_share
147.0,0.48,apartment,S,3,24,67,0.40591954847848577,0.0809520387944484,0.40423398583970077,0.10889442688736505
141.0,0.36,apartment,M,3,22,52,0.41468787799564943,0.12340601861264161,0.3425549169465395,0.1193511864451696
373.0,0.34,apartment,L,8,24,54,0.45194987469676207,0.10822965134876582,0.29331335597650043,0.1465071179779716
114.0,0.27,apartment,M,2,24,72,0.4525034711834925,0.0921709415932307,0.3169944962403212,0.13833109098295565
283.0,0.47,apartment,L,2,22,77,0.4308517052243487,0.08887251341743123,0.35035835521010217,0.12991742614811796
207.0,0.46,apartment,M,3,23,30,0.4074893105694658,0.1686070693985878,0.2767252539468364,0.14717836608511012
143.0,0.27,villa,L,2,25,86,0.4571703760433121,0.06579067935710964,0.3516285057321223,0.12541043886745595
223.0,0.27,villa,M,5,19,58,0.5052919252709069,0.10597560049984914,0.311375801985517,0.07735667224372683
181.0,0.38,villa,S,3,24,55,0.3940270157249421,0.12046801870020549,0.34096650708830645,0.14453845848654595
220.0,0.4,villa,S,6,26,59,0.33223247574465115,0.15932316842397956,0.36505502079848234,0.14338933503288703
259.0,0.27,villa,M,5,23,37,0.48191571704330594,0.11643761160075723,0.2434775314520553,0.15816913990388157
350.0,0.42,villa,L,4,24,82,0.4143753855619312,0.08504832861989535,0.35689865135640486,0.14367763446176868
308.0,0.39,apartment,M,6,22,45,0.4544715099800883,0.05983078990661691,0.3193755283349018,0.1663221717783931
182.0,0.44,apartment,S,2,22,74,0.4471879447650401,0.047713152684669274,0.3640149754957089,0.14108392705458178
253.0,0.48,apartment,S,4,21,58,0.5341802970752032,0.053379064559591564,0.28307057961079374,0.1293700587544116
127.0,0.29,apartment,M,4,24,58,0.3390171134191014,0.10060261830136476,0.40564983141615507,0.15473043686337878
278.0,0.45,apartment,L,3,21,58,0.4950083197383608,0.11132295266379476,0.26170563065608243,0.13196309694176195
138.0,0.31,villa,M,1,23,11,0.4528236803328592,0.21189597214031536,0.20585455118690626,0.1294257963399192
284.0,0.46,villa,M,4,23,55,0.3346953068785175,0.20026415510800535,0.3547410656992113,0.11029947231426579
276.0,0.35,villa,M,4,21,6,0.5355791526555694,0.12349865167026879,0.22471280436518815,0.11620939130897366
469.0,0.48,villa,L,4,23,68,0.4190390062682345,0.06762593510865385,0.39966882186803315,0.11366623675507848
340.0,0.4,villa,L,3,22,35,0.5411397923632137,0.10355727627487887,0.2553667317093997,0.09993619965250757
88.0,0.26,apartment,S,2,24,66,0.3461212479883125,0.09624758634497944,0.3722532582973177,0.18537790736939033
370.0,0.47,villa,M,7,25,67,0.39981589249136923,0.08549732941153386,0.3453042681980959,0.16938250989900094
218.0,0.36,villa,L,2,23,46,0.5211878442851288,0.14097938096480336,0.21933502304752092,0.11849775170254712
528.0,0.41,villa,L,8,21,74,0.5161200255051583,0.048818145040252094,0.3316182182069457,0.10344361124764391
372.0,0.49,apartment,M,5,21,8,0.4912184573464811,0.1362000530260797,0.3012743019619901,0.07130718766544902
136.0,0.36,apartment,S,4,25,10,0.3239534674175376,0.20325797792376094,0.3426812159134806,0.13010733874522085
269.0,0.35,villa,M,3,21,49,0.47104903769377354,0.1075628496521027,0.23664902214455155,0.18473909050957224
343.0,0.49,apartment,M,6,20,57,0.47044353905683767,0.09040718689548749,0.31265845897463457,0.12649081507304016
202.0,0.31,apartment,S,6,22,27,0.4017078498839858,0.10218759688816095,0.33986456931465503,0.1562399839131982
235.0,0.35,apartment,L,5,25,19,0.3213960113156952,0.19156737320570497,0.3436083769136019,0.14342823856499798
185.0,0.44,apartment,S,5,26,78,0.33158513273073514,0.07438952126443052,0.47818395439507627,0.11584139160975819
279.0,0.39,apartment,L,4,22,31,0.47275093155681297,0.12110886962774255,0.30771312132803397,0.09842707748741059
165.0,0.32,villa,M,2,24,26,0.4463086819154135,0.15880564153241378,0.2605396196989397,0.13434605685323298
234.0,0.36,villa,S,8,24,62,0.3927291968369216,0.20381284394317656,0.2891859128683611,0.11427204635154077
217.0,0.5,villa,M,1,23,50,0.4695040602985934,0.15931335043755915,0.28131603533012234,0.08986655393372522
191.0,0.44,apartment,M,4,24,77,0.3803256968819565,0.07946965994107996,0.3662789148440222,0.17392572833294143
262.0,0.49,apartment,L,3,24,21,0.40603333379940937,0.1663136105468415,0.3046754628229368,0.12297759283081222
186.0,0.27,apartment,M,5,20,38,0.3850428789988625,0.10601306437444497,0.3831018253904981,0.12584223123619445
99.0,0.27,apartment,S,5,23,46,0.35258729347817214,0.16013103833172088,0.31210994643990714,0.17517172175019974
204.0,0.26,apartment,L,4,23,67,0.41228126051478425,0.09579228239305235,0.34698864737511326,0.14493780971705011
334.0,0.48,villa,M,2,22,41,0.4677620438505752,0.12073137272529305,0.2816617531951315,0.12984483022900023
246.0,0.42,villa,S,3,23,58,0.5638589581845952,0.0811708419268068,0.18681483171511365,0.16815536817348448
132.0,0.31,apartment,L,2,22,88,0.5088917374493274,0.04604440091535336,0.25892498022547733,0.1861388814098419
186.0,0.39,apartment,S,7,23,61,0.4092361138198954,0.11202831869103556,0.328581350823418,0.15015421666565115
139.0,0.3,apartment,S,2,24,48,0.3724746977672311,0.13988491294628344,0.319757967884339,0.1678824214021464
212.0,0.4,apartment,M,7,20,67,0.49944463769177816,0.05569404145148802,0.3242922937332503,0.1205690271234835
166.0,0.33,apartment,M,2,22,23,0.3988103244663104,0.1307024065619698,0.3325212105971671,0.13796605837455278
211.0,0.41,apartment,M,6,23,58,0.39452208457994864,0.0728271370721447,0.4184417600719093,0.11420901827599741
244.0,0.28,apartment,L,4,25,90,0.39999370194849276,0.05378591548027628,0.37455112168706084,0.17166926088417017
143.0,0.31,apartment,S,6,22,36,0.44318105462167595,0.13045623124006878,0.3172780324057924,0.10908468173246276
226.0,0.25,villa,L,4,22,65,0.45807051906866597,0.09976765304648733,0.30460280642514376,0.13755902145970292
240.0,0.46,apartment,S,5,24,69,0.41439968605056293,0.08086601240405551,0.3321251629296427,0.1726091386157388
244.0,0.45,apartment,S,5,23,80,0.4978658013926813,0.08869024481379398,0.30824919095830383,0.10519476283522088
104.0,0.33,apartment,S,3,24,57,0.4157043750395544,0.12889354941579365,0.3528639913442686,0.10253808420038345
196.0,0.29,apartment,S,7,21,58,0.43908226274513035,0.07540802727490496,0.3801737600612135,0.1053359499187512
121.0,0.27,apartment,M,4,26,13,0.2787114597407498,0.20962206583789358,0.38172357768533316,0.1299428967360235
371.0,0.42,villa,L,3,23,74,0.47412902636712256,0.06754203197278777,0.38104369223584783,0.07728524942424181
242.0,0.29,villa,L,3,23,21,0.501401900907496,0.14648438082870838,0.23676154232271962,0.11535217594107593
143.0,0.33,apartment,M,4,25,71,0.40528088711096766,0.04897614679606046,0.38895972562707065,0.15678324046590134
272.0,0.46,apartment,S,6,24,28,0.3331193532373878,0.196013543621194,0.3007547514007208,0.17011235174069755
229.0,0.26,apartment,L,5,23,95,0.46883760932977253,0.04104095123739756,0.28730780972739556,0.20281362970543426
131.0,0.32,apartment,M,3,23,29,0.4117853316764518,0.21350174642221276,0.28490398320556104,0.08980893869577443
293.0,0.49,apartment,M,5,23,31,0.45880350007985676,0.10641808733498472,0.3205387122302631,0.11423970035489536
159.0,0.28,villa,M,1,21,45,0.492416477169351,0.14002688608250083,0.2525728611283164,0.11498377561983163
98.0,0.28,apartment,S,3,25,30,0.40803882597719204,0.18408534590673511,0.29312601400158944,0.11474981411448339
389.0,0.48,apartment,M,6,23,39,0.40250613071691066,0.1395999541396833,0.266330590675677,0.19156332446772922
196.0,0.48,apartment,L,2,24,44,0.33884335642318825,0.08966308671654209,0.3837187930563056,0.18777476380396402
199.0,0.43,apartment,S,3,21,59,0.4986601885800162,0.1275104247546614,0.22088211537436764,0.15294727129095476
174.0,0.42,villa,M,1,24,62,0.45298452109077014,0.08112124009939745,0.33431707575472697,0.13157716305510547
172.0,0.41,apartment,L,1,23,9,0.447512093324871,0.2018973264741357,0.23823420825610223,0.11235637194489119
212.0,0.4,apartment,M,2,22,46,0.48929833813857293,0.13825498553105017,0.2778540268050957,0.09459264952528129
143.0,0.39,apartment,M,2,25,2,0.3571983680332109,0.19433662971292726,0.33037998147511816,0.11808502077874376
395.0,0.48,villa,M,4,23,10,0.4437436078847856,0.21290856631177119,0.24198595129163739,0.1013618745118059
320.0,0.39,apartment,L,6,25,53,0.42407563167711687,0.10342829551056135,0.29692031584824014,0.17557575696408162
229.0,0.43,apartment,M,2,20,18,0.4508747840432062,0.13844342234680074,0.25806255374248427,0.15261923986750883
230.0,0.39,apartment,M,6,23,18,0.3232786072893738,0.18342576046286074,0.319214280465391,0.17408135178237452
160.0,0.36,apartment,S,4,24,27,0.4174269718001606,0.12673543555634534,0.2822151439089361,0.173622448734558
325.0,0.4,villa,L,2,24,80,0.4867362685761987,0.11377447227821837,0.2739557890634368,0.12553347008214608
160.0,0.36,apartment,L,3,21,80,0.47048733190822306,0.06207604199219935,0.32090092953998123,0.14653569655959647
181.0,0.35,apartment,M,2,22,81,0.5225043112906589,0.05610928795245401,0.2856172305892162,0.1357691701676708
129.0,0.25,apartment,L,5,23,55,0.4429317250919164,0.10425823299550277,0.27556960639819816,0.17724043551438268
213.0,0.39,apartment,M,5,24,60,0.42029434085541856,0.07133661446443657,0.3272330331831987,0.1811360114969463
272.0,0.42,apartment,L,3,23,88,0.49989904468918883,0.04948299697922981,0.3118387351457578,0.1387792231858237
232.0,0.42,villa,S,2,22,81,0.483765178579985,0.12195957577955284,0.2396581458717671,0.1546170997686951
99.0,0.34,apartment,S,2,23,44,0.2991234677522327,0.20613302248863602,0.3283830761129529,0.1663604336461785
381.0,0.46,apartment,L,4,21,40,0.4927337891504772,0.1198243425226248,0.3103428947548871,0.07709897357201084
152.0,0.31,apartment,M,2,24,81,0.41209986521366676,0.06338219953782699,0.35737602235130705,0.16714191289719932
203.0,0.32,villa,M,4,24,87,0.44031909332666985,0.044213148720311075,0.3105981857604426,0.20486957219257645
258.0,0.43,apartment,M,4,23,24,0.4317212590302567,0.15308248608192046,0.26197091840257236,0.15322533648525047
142.0,0.3,apartment,M,5,24,49,0.3709550019283004,0.10874251151628558,0.3925901379713713,0.1277123485840428
75.0,0.25,apartment,S,2,23,34,0.4463640934331474,0.16482678388231378,0.2687453785093719,0.1200637441751668
261.0,0.44,apartment,M,4,23,44,0.41226383161809044,0.1048373200977033,0.3509657797422435,0.13193306854196285
163.0,0.29,villa,M,4,24,41,0.44939836070414796,0.1132155132514899,0.33199043420716823,0.10539569183719392
177.0,0.36,apartment,S,6,20,70,0.43344131062753805,0.07082179461310048,0.412730999047641,0.08300589571172043
145.0,0.37,apartment,S,4,24,53,0.37047254111471845,0.14747491571774513,0.30669410495438093,0.1753584382131556
244.0,0.4,apartment,M,3,19,53,0.6138646160047143,0.05717724479354108,0.23982988273983197,0.08912825646191275
197.0,0.36,apartment,M,2,23,46,0.4543723759974599,0.10109484710504052,0.30704910607055824,0.13748367082694135
147.0,0.31,apartment,M,5,24,26,0.3437997704846821,0.1860323386254217,0.36936258407726597,0.10080530681263015
179.0,0.44,apartment,M,4,23,43,0.3637744167796433,0.14822787325840878,0.3725528082245955,0.11544490173735249
147.0,0.31,apartment,M,5,25,67,0.3139829232873073,0.09469092957199868,0.4387694512959911,0.15255669584470288
194.0,0.37,villa,S,4,23,70,0.4952677939913289,0.07730738383644332,0.2822279039237708,0.14519691824845704
193.0,0.26,villa,M,6,24,36,0.38284374065396004,0.15083560842115784,0.35607326469889516,0.11024738622598697
139.0,0.29,apartment,S,6,23,43,0.3269929768620606,0.1400449929608857,0.4158838024442821,0.11707822773277163
140.0,0.28,villa,M,3,21,32,0.4416543659647668,0.13093365532790885,0.2844441967018847,0.14296778200543958
128.0,0.36,villa,S,2,23,62,0.4602464774964709,0.08597530036411641,0.2645440257340201,0.1892341964053925
232.0,0.35,apartment,M,6,21,56,0.4274662664786842,0.09700831610758462,0.3330002324719611,0.14252518494177002
198.0,0.29,apartment,M,5,25,45,0.3437850574447294,0.13683247698072568,0.3429526765048834,0.1764297890696615
451.0,0.46,apartment,L,7,23,19,0.45169192599124997,0.1345179216516275,0.272381300711382,0.14140885164574057
196.0,0.37,apartment,M,4,21,33,0.42529885823181446,0.13311236634690943,0.29801254670528554,0.14357622871599063
316.0,0.45,apartment,L,7,24,81,0.44345800920930983,0.06593802065600013,0.3759086102366546,0.1146953598980354
189.0,0.4,apartment,M,2,23,47,0.435291155754085,0.09929116758958813,0.28817802413995636,0.17723965251637044
207.0,0.27,villa,S,4,20,59,0.5421311764558459,0.07698840167907331,0.306601256759088,0.07427916510599297
180.0,0.4,apartment,S,4,24,18,0.39822339514329236,0.1890200323192927,0.29014639216912663,0.12261018036828816
160.0,0.31,villa,S,1,23,63,0.5430781446066025,0.09370480754606068,0.19414425483209935,0.16907279301523742
92.0,0.34,apartment,S,2,24,62,0.3713761839803862,0.11251793919800906,0.3145346337241185,0.20157124309748634
150.0,0.47,apartment,S,2,24,69,0.4036240450638463,0.09682718028386017,0.3201294552455394,0.17941931940675415
200.0,0.42,villa,M,2,23,16,0.4246592485460773,0.19583774416976985,0.23936059508604293,0.14014241219811
250.0,0.38,apartment,M,7,22,48,0.3981019430499262,0.05678987991511496,0.36417456493983136,0.18093361209512757
259.0,0.29,apartment,M,7,24,36,0.40642645812966177,0.11803076144300714,0.32659000227366664,0.14895277815366456
185.0,0.27,apartment,S,6,24,51,0.3658534144742334,0.10064861214588239,0.362556711298473,0.1709412620814112
438.0,0.37,villa,M,8,25,40,0.36745126728660443,0.16413091987863174,0.3323505058383363,0.13606730699642755
220.0,0.34,apartment,S,6,22,67,0.480860572704311,0.05801497764554241,0.2890082319757412,0.1721162176744055
269.0,0.45,apartment,M,7,24,53,0.355388041298491,0.06242159289454311,0.4427698827735391,0.13942048303342663
142.0,0.28,apartment,M,2,24,38,0.38311836857921105,0.14666028086572064,0.3225127594945911,0.14770859106047715
110.0,0.34,apartment,S,3,21,61,0.46568666137604964,0.08806307512004198,0.2803140353362711,0.1659362281676374
227.0,0.41,apartment,S,6,23,67,0.3870089617659186,0.10454633722122833,0.34736889401932713,0.16107580699352594
355.0,0.48,apartment,L,4,21,48,0.42687349276507425,0.10788441410942474,0.3299969965194648,0.13524509660603623
202.0,0.28,apartment,M,5,23,61,0.3897008951216546,0.05440953754703712,0.3956207357187115,0.1602688316125968
278.0,0.46,apartment,M,4,21,31,0.5136547908047264,0.11739555272403435,0.2723015929293125,0.09664806354192672
233.0,0.45,apartment,S,3,23,62,0.4648908221154028,0.08639179924238768,0.25278198539538377,0.1959353932468259
158.0,0.4,villa,S,3,24,75,0.44997173612022545,0.06609472006484995,0.30029840651836986,0.18363513729655478
186.0,0.29,apartment,M,5,21,35,0.4466110158842145,0.10217539316059006,0.2663173807217859,0.18489621023340957
192.0,0.38,apartment,L,4,25,53,0.37128290984258644,0.12617021455957853,0.3848557281546907,0.11769114744314436
117.0,0.41,apartment,S,3,23,29,0.37154601818120303,0.17672363746821051,0.29070086777059184,0.16102947657999464
182.0,0.27,villa,S,4,22,51,0.4524157692407523,0.07084225263506035,0.3304167700895871,0.14632520803460028
216.0,0.45,apartment,L,3,25,75,0.38517001189418076,0.0704419102787332,0.3975270700734626,0.1468610077536234
307.0,0.49,apartment,M,4,21,36,0.45876166888257314,0.14696336457269493,0.2991275000696262,0.0951474664751057
231.0,0.41,apartment,S,4,25,44,0.38630073188373626,0.12286886391228795,0.3219921251740605,0.1688382790299152
179.0,0.35,apartment,M,4,24,32,0.3757908528359557,0.11149525671577146,0.3661480691865512,0.14656582126172163
271.0,0.44,apartment,M,7,25,45,0.3259838870524685,0.10309949387622545,0.4533771308791437,0.11753948819216238
215.0,0.36,apartment,L,4,24,42,0.3675754421063246,0.11288517837199089,0.35965352021981234,0.15988585930187227
256.0,0.39,apartment,S,7,21,67,0.44977888822474665,0.07186248855781921,0.3086834009178283,0.16967522229960594
139.0,0.26,apartment,M,6,23,59,0.30589409926705774,0.0665417327732592,0.4447639687844984,0.18280019917518472
232.0,0.36,villa,S,6,23,59,0.4213798789330635,0.07173687908195135,0.32856293214438265,0.17832030984060243
443.0,0.5,villa,L,5,23,43,0.388545448865304,0.08931240353667111,0.3659061692978061,0.15623597830021888
158.0,0.29,apartment,L,4,23,45,0.3454553039815345,0.09278118420535102,0.33941032833927554,0.22235318347383898
368.0,0.46,villa,L,4,24,44,0.335776781433654,0.14049231025140216,0.33994077191048777,0.18379013640445602
252.0,0.34,villa,L,4,23,26,0.5179935074064256,0.11710757128328683,0.24189950774478533,0.1229994135655023
153.0,0.32,villa,M,3,23,48,0.4090219039268815,0.09167955998614782,0.26294688419051954,0.23635165189645124
